Name	Protocol	Port	Comments
OPC		3480	OPC specifies the communication of real-time plant data between control devices from different manufacturers
OpenWindows		2000	
Oracle_9iAS_1_tcp_1810		1810	
Oracle_9iAS_2_tcp_7778		7778	
Oracle_9iAS_3_tcp_8800		8800	
Orbix-1570		1570	IONA Orbix Daemon (IIOP) Port 1570
Orbix-1571		1571	IONA Orbix Daemon (IIOP) Port 1571
pcANYWHERE-data		5631	PCs remote access security software; data
pcANYWHERE-stat		5632	PCs remote access security software; status
pcms1500		1500	
pcms1503_and_T.120_		1503	H323; Application sharing protocol
pcms1504		1504	
pcms1530-1534		1530-1534	
pcms1580-1581		1580-1581	
pcTELECOMMUTE-FileSync		2299	Symantec pcTELECOMMUTE File Synchronization
Pointcast		80	http subservice for QoS Software Blade use; push web content
pop-2		109	Post Office Protocol - Version 2
pop-3		110	Post Office Protocol - Version 3
POP3S		995	SSL protocol over POP3S
Port_6667_trojans		6667	Used by: Dark FTP;EGO;Maniac rootkit;Moses;ScheduleAgent;SubSeven;Trinity;The thing;Kaitex;WinSatan trojans.
PostgreSQL		5432	Supported from version R55W; PostgreSQL database server
PostgreSQL_5432_		5432	Supported from version R55W; PostgreSQL database server
pptp-tcp		1723	Point-to-Point Tunneling Protocol; extension of PPP
pptp-tcp_1723_		1723	Point-to-Point Tunneling Protocol; extension of PPP
quic		443	Quick UDP Internet Connections
RADIUS		1645	Remote Authentication Dial-In User Service
RADIUS-ACCOUNTING		1646	Remote Authentication Dial-In User Service accounting
RainWall_Command		6374	RainWall high availability daemon
RainWall_Daemon		6372	RainWall daemons communication
RainWall_Status		6374	RainWall remote management status
RainWall_Stop		6373	RainWall monitoring
RAT		1097-1098	RAT trojan (Remote Administration Tool)
RDP		259	Check Point VPN-1 FWZ Key Negotiations - Reliable Datagram Protocol
Real-Audio		7070	RealNetworks PNA Protocol
Real-Audio_cashlink_7070_		7070	RealNetworks PNA Protocol
RealSecure		2998	Automatic 'Suspicious Activity Monitoring' activator
Remote_Desktop_Protocol		3389	Microsoft RDP
Remote_Desktop_Protocol_3389_		3389	Microsoft RDP
Remote_Desktop_Protocol_UDP		3389	
Remote_Storm		1025	Also used by: Fraggle Rock;NetSpy;md5 Backdoor trojans
RexxRave		1104	RexxRave trojan
rip		520	Routing Information Protocol
RIPng		521	Routing Information Protocol for IPv6
rtp		6970-6999	
rtsp		554	Real Time Streaming Protocol
sas_25000-25050		25000-25050	used by SAS
SCCP		2000	Supported from version R55W; Skinny Client Control Protocol (SCCP)
SCCPS_2443		2443	
SCCPS_2445		2445	
Secure_MSRP_2855		2855	
Secure_MSRP_2856		2856	
securid-udp		5500	Token based Authentication service (UDP)
securidprop		5510	Token based Authentication service (TCP)
Shadyshell		1337	Shadyshell trojan
shell		514	Remote shell (rsh)
shell_514_		514	Remote shell (rsh)
SIC-TCP		18190-19191	SIC TCP service
sip		5060	Session Initiation Protocol
sip-tcp		5060	Session Initiation Protocol over TCP
sip-tcp_5060_		5060	Session Initiation Protocol over TCP
sip_5061		5061	Session Initiation Protocol
sip_any		5060	Session Initiation Protocol
sip_any-tcp		5060	
sip_tls_authentication		5061	
sip_tls_not_inspected		5061	
SkyDance-T		4000	Also used by: Backdoor trojan
smb		445	
smb-udp		138	Simple Network Management Protocol
smtp		25	Simple Mail Transfer Protocol
SMTPS		465	SSL protocol over SMTPS
snmp		161	Simple Network Management Protocol
snmp-read		161	Simple Network Management Protocol - Read Only
snmp-tcp		161	Simple Network Management Protocol
snmp-trap		162	Simple Network Management Protocol Traps
snmp-trap_162_		162	Simple Network Management Protocol Traps
SOAP_8191		8191	
SocketsdesTroie		1	Also used by the: tcpmux service
sqlnet1		1521	Oracle SQL*Net Version 1
sqlnet1_1521_		1521	Oracle SQL*Net Version 1
sqlnet2-1521		1521	part of Oracle SQL*Net Version 2 Services
sqlnet2-1525		1525	part of Oracle SQL*Net Version 2 Services
sqlnet2-1526		1526	part of Oracle SQL*Net Version 2 Services
sqlnet_1521_1526		1521-1526	
Squid_NTLM		3128	Squid NTLM authentication
ssh		22	secure shell; encrypted and authenticated rsh
ssh_version-2_		22	Secure Shell; version 1.x block
ssh_version_2		22	Secure Shell; version 1.x block
ssl-v3_		443	SSL version 3; droping anything else.
ssl_v2		443	
ssl_v3		443	SSL version 3 and higher
StoneBeat-Control		3002	Stonesoft StoneBeat Control
StoneBeat-Daemon		3001	Stonesoft StoneBeat Daemon Heartbeat
StoneBeat-Daemon_3001_		3001	Stonesoft StoneBeat Daemon Heartbeat
Streamworks		1558	
SubSeven		27374	Also used by:Bad Blood;EGO;Lion;Ramen;Seeker;The Saint;Tftloader;Webhead trojans
SubSeven-G		1243	Also used by: Tiles and Backdoor_g trojans
sunrpc_111		111	
SWTP_Gateway		9281	VPN-1 Embedded/SofaWare commands
SWTP_SMS		9282	VPN-1 embedded / SofaWare Management Server (SMS)
syslog		514	UNIX syslog Protocol; control system log
syslog_514_		514	UNIX syslog Protocol; control system log
T.120		1503	H323; Application sharing protocol
TACACS		49	Terminal Access Controller Access Control System over UDP
TACACSplus		49	Terminal Access Controller Access Control System over TCP
TCP-1350	tcp	1350	For Omni Station
tcp-3223	tcp	3223	
tcp-high-ports	tcp	1024-65535	TCP Ports 1024-65535
tcp13000-15000	tcp	13000-15000	
tcp30001	tcp	30001	
tcp59999	tcp	59999	
tcp_10002	tcp	10002	i711.com text relay support
tcp_10010	tcp	10010	
tcp_10020	tcp	10020	
tcp_102	tcp	102	
tcp_10200-10220	tcp	10200-10220	
TCP_10204	tcp	10204	
tcp_1021	tcp	1021	
tcp_1022	tcp	1022	
tcp_1023	tcp	1023	1023
tcp_1024_5000	tcp	1025-5000	
tcp_1028	tcp	1028	
tcp_1037-1038	tcp	1037-1038	
tcp_1040	tcp	1040	
tcp_10443	tcp	10443	
tcp_10444	tcp	10444	
tcp_1045	tcp	1045	
tcp_1055	tcp	1055	
tcp_1057	tcp	1057	
tcp_1058	tcp	1058	
tcp_1059	tcp	1059	
tcp_1068	tcp	1068	
tcp_1080	tcp	1080	
